AGS;Kommune;Kreis;Typ;Regierungsbezirk;Bevölkerung;Gemeindegrößenklasse;Partei;Zentralörtliche Einstufung;Beschluss NKNRW;Angebot;Einstiegszeitpunkt;Vorerfahrung;Teilnahme NKNRW;Projekthistorie id;Projekthistorie Name
5162004;Dormagen;Rhein-Kreis Neuss;Stadt;Düsseldorf;63799;Mittelstadt;SPD;Mittelzentrum;Liegt vor;Fortschreibung einer bestehenden Nachhaltigkeitsstrategie;2026-10;Performer;1;1;Global Nachhaltige Kommune (2019–2021)
5958004;Arnsberg;Hochsauerlandkreis;Stadt;Arnsberg;74879;Mittelstadt;SPD;Mittelzentrum;Geplant;Fortschreibung einer bestehenden Nachhaltigkeitsstrategie;2027-08;Professionals;1;1;"Global Nachhaltige Kommune (2016–2018); Global Nachhaltige Kommune (2021–2022)"
5158028;Ratingen;Mettmann;Stadt;Düsseldorf;89368;Mittelstadt;CDU;Mittelzentrum;Geplant;Fortschreibung einer bestehenden Nachhaltigkeitsstrategie;"2027-08; 2028-07";Professionals;1;1;Prozesskette Nachhaltigkeit Phase I (2023–2024)
5120000;Remscheid;Remscheid, Stadt;Kreisfreie Stadt;Düsseldorf;113828;Großstadt;SPD;Mittelzentrum;Liegt vor;Fortschreibung einer bestehenden Nachhaltigkeitsstrategie;2026-10;Performer;1;1;Auftragsarbeit – Erstellung einer Nachhaltigkeitsstrategie (2021)
5916000;Herne;Herne, Stadt;Kreisfreie Stadt;Arnsberg;155851;Großstadt;SPD;Mittelzentrum;Geplant;Fortschreibung einer bestehenden Nachhaltigkeitsstrategie;2027-08;Performer;1;1;Global Nachhaltige Kommune (2019–2021)
5122000;Solingen;Solingen, Klingenstadt;Kreisfreie Stadt;Düsseldorf;165626;Großstadt;CDU;Mittelzentrum;Geplant;Fortschreibung einer bestehenden Nachhaltigkeitsstrategie;"2027-08; 2028-07";Professionals;1;1;"Global Nachhaltige Kommune (2016–2018); Prozesskette Nachhaltigkeit Phase 2 (2025–2026)"
5914000;Hagen;Hagen, Stadt der FernUniversität;Kreisfreie Stadt;Arnsberg;190384;Großstadt;CDU;Oberzentrum und höher;Geplant;"Fortschreibung einer bestehenden Nachhaltigkeitsstrategie; Entwicklung eines Nachhaltigkeitsberichts";2027-10;Performer;1;1;Global Nachhaltige Kommune (2019–2021)
5366000;Euskirchen;Euskirchen;Kreis;Köln;201636;;CDU;;Nein;Fortschreibung einer bestehenden Nachhaltigkeitsstrategie;2028-07;Performer;1;1;"Global Nachhaltige Kommune (2019–2021); Global Nachhaltige Kommune (2021–2022)"
5370000;Heinsberg;Heinsberg;Kreis;Köln;263507;;CDU;;Nein;Entwicklung eines Nachhaltigkeitsberichts;2027-04;Performer;1;1;Global Nachhaltige Kommune (2021–2022)
5515000;Münster;Münster, Stadt;Kreisfreie Stadt;Münster;308258;Großstadt;Die Grüne;Oberzentrum und höher;Nein;Fortschreibung einer bestehenden Nachhaltigkeitsstrategie;2027-08;Professionals;1;1;Global Nachhaltige Kommune (2016–2018)
5314000;Bonn;Bonn, Stadt;Kreisfreie Stadt;Köln;323336;Großstadt;CDU;Oberzentrum und höher;Liegt vor;Fortschreibung einer bestehenden Nachhaltigkeitsstrategie;2026-10;Professionals;1;1;"Global Nachhaltige Kommune (2016–2018); Global Nachhaltige Kommune (2021–2022); Transfer Nachhaltigkeit (2020–2021); Aufbruch Nachhaltigkeit (2022–2024)"
5711000;Bielefeld;Bielefeld, Stadt;Kreisfreie Stadt;Detmold;331605;Großstadt;CDU;Oberzentrum und höher;Nein;Fortschreibung einer bestehenden Nachhaltigkeitsstrategie;2026-10;Professionals;1;1;Global Nachhaltige Kommune (2019–2021)
5124000;Wuppertal;Wuppertal, Stadt;Kreisfreie Stadt;Düsseldorf;358193;Großstadt;SPD;Oberzentrum und höher;Geplant;"Fortschreibung einer bestehenden Nachhaltigkeitsstrategie; Entwicklung eines Nachhaltigkeitsberichts";2027-04;Professionals;1;1;"Global Nachhaltige Kommune (2021–2022); Prozesskette Nachhaltigkeit Phase I (2023–2024)"
5999999;Landschaftsverband Rheinland;;Kommunalverband / Gemeindeverband;"Köln; Düsseldorf";9822464;;CDU;;Geplant;Fortschreibung einer bestehenden Nachhaltigkeitsstrategie;"2027-08; 2028-07";Performer;1;1;Auftragsarbeit – Erstellung einer Nachhaltigkeitsstrategie, eines BNK/VLR Nachhaltigkeitsberichts (2023–2025)
5334002;Aachen;Städteregion Aachen;Stadt;Köln;262670;Großstadt;;Oberzentrum und höher;;;;;0;1;BNK Bundesweit (2025)
5570008;Beckum;Warendorf;Stadt;Münster;37133;Mittelstadt;;Mittelzentrum;;;;;0;1;Prozesskette Nachhaltigkeit Phase I (2023–2024)
5362004;Bedburg;Rhein-Erft-Kreis;Stadt;Köln;25316;Mittelstadt;;Mittelzentrum;;;;;0;1;Global Nachhaltige Kommune (2016–2018)
5911000;Bochum;Bochum, Stadt;Kreisfreie Stadt;Arnsberg;358676;Großstadt;;Oberzentrum und höher;;;;;0;1;Global Nachhaltige Kommune (2021–2022)
5766020;Detmold;Lippe;Stadt;Detmold;74278;Mittelstadt;;Mittelzentrum;;;;;0;1;"Global Nachhaltige Kommune (2019–2021); Verwaltung 2.030 (2021–2023)"
5170008;Dinslaken;Wesel;Stadt;Düsseldorf;66993;Mittelstadt;;Mittelzentrum;;;;;0;1;Global Nachhaltige Kommune (2016–2018)
5913000;Dortmund;Dortmund, Stadt;Kreisfreie Stadt;Arnsberg;603462;Großstadt;;Oberzentrum und höher;;;;;0;1;"Global Nachhaltige Kommune (2016–2018); Global Nachhaltige Kommune (2021–2022)"
5558016;Dülmen;Coesfeld;Stadt;Münster;47989;Mittelstadt;;Mittelzentrum;;;;;0;1;Prozesskette Nachhaltigkeit Phase 2 (2025–2026)
5111000;Düsseldorf;Düsseldorf, Stadt;Kreisfreie Stadt;Düsseldorf;618685;Großstadt;;Oberzentrum und höher;;;;;0;1;Global Nachhaltige Kommune (2021–2022)
5566008;Emsdetten;Steinfurt;Stadt;Münster;36159;Mittelstadt;;Mittelzentrum;;;;;0;1;Prozesskette Nachhaltigkeit Phase 2 (2025–2026)
5158004;Erkrath;Mettmann;Stadt;Düsseldorf;43706;Mittelstadt;;Mittelzentrum;;;;;0;1;Auftragsarbeit – Erstellung einer Nachhaltigkeitsstrategie (2023–2024)
5334012;Eschweiler;Städteregion Aachen;Stadt;Köln;57534;Mittelstadt;;Mittelzentrum;;;;;0;1;Global Nachhaltige Kommune (2016–2018)
5113000;Essen;Essen, Stadt;Kreisfreie Stadt;Düsseldorf;574682;Großstadt;;Oberzentrum und höher;;;;;0;1;Global Nachhaltige Kommune (2019–2021)
5158008;Haan;Mettmann;Stadt;Düsseldorf;30086;Mittelstadt;;Mittelzentrum;;;;;0;1;Global Nachhaltige Kommune (2019–2021)
5958020;Hallenberg;Hochsauerlandkreis;Stadt;Arnsberg;4367;Landgemeinde;;Grundzentrum und niedriger;;;;;0;1;Prozesskette Nachhaltigkeit Phase 2 (2025–2026)
5954020;Herdecke;Ennepe-Ruhr-Kreis;Stadt;Arnsberg;22772;Mittelstadt;;Mittelzentrum;;;;;0;1;"Global Nachhaltige Kommune (2016–2018); BNK Bundesweit (2024)"
5770012;Hille;Minden-Lübbecke;Kreisangehörige Gemeinde;Detmold;16274;Größere Kleinstadt;;Grundzentrum und niedriger;;;;;0;1;"Prozesskette Nachhaltigkeit Phase I (2023–2024); Prozesskette Nachhaltigkeit Phase 2 (2025–2026)"
5888888;Indeland;;Kommunalverband / Gemeindeverband;Köln;158061;;;;;;;;0;1;Auftragsarbeit – Erstellung einer Nachhaltigkeitsstrategie (2022–2024) (Zusammenschluss, kein eigener AGS)
5162012;Jüchen;Rhein-Kreis Neuss;Stadt;Düsseldorf;23926;Mittelstadt;;Grundzentrum und niedriger;;;;;0;1;"Global Nachhaltige Kommune (2016–2018); Transfer Nachhaltigkeit (2020–2021)"
5766036;Kalletal;Lippe;Kreisangehörige Gemeinde;Detmold;13256;Größere Kleinstadt;;Grundzentrum und niedriger;;;;;0;1;"Global Nachhaltige Kommune (2019–2021); Global Nachhaltige Kommune (2021–2022); Prozesskette Nachhaltigkeit Phase I (2023–2024)"
5362032;Kerpen;Rhein-Erft-Kreis;Stadt;Köln;66585;Mittelstadt;;Mittelzentrum;;;;;0;1;Auftragsarbeit – Erstellung einer Nachhaltigkeitsstrategie (2023–2025)
5154036;Kleve;Kleve;Stadt;Düsseldorf;53028;Mittelstadt;;Mittelzentrum;;;;;0;1;Global Nachhaltige Kommune (2023)
5315000;Köln;Köln, Stadt;Kreisfreie Stadt;Köln;1024621;Großstadt;;Oberzentrum und höher;;;;;0;1;"Global Nachhaltige Kommune (2016–2018); Global Nachhaltige Kommune (2021–2022); VLRs für Global Nachhaltige Kommunen (2022–2023); Netzwerk Nachhaltigkeit (2017–2018); Prozesskette Nachhaltigkeit Phase 2 (2025–2026)"
5114000;Krefeld;Krefeld, Stadt;Kreisfreie Stadt;Düsseldorf;231406;Großstadt;;Oberzentrum und höher;;;;;0;1;Prozesskette Nachhaltigkeit Phase I (2023–2024)
